id,speaker,x,y
909,「公子」,6.3865404,6.7345414
911,「公子」,6.804688,9.783105
922,「公子」,6.4651685,7.4381638
923,派蒙,0.75087625,5.1584053
926,「公子」,5.0116806,1.6238973
927,「公子」,3.0260553,6.595898
928,「公子」,4.144075,8.404284
932,「公子」,4.9628916,0.89811563
934,「公子」,5.963137,2.5733693
935,「公子」,2.3475652,3.9892554
948,「公子」,4.0153933,8.394786
949,「公子」,1.0411198,5.7368503
954,派蒙,18.5833,3.2495549
960,旅行者,6.8558116,7.8493857
961,旅行者,10.1402645,6.1638913
962,旅行者,8.776201,4.039112
963,旅行者,15.245045,4.2766747
964,「公子」,7.674814,9.612301
965,「公子」,0.33730087,-0.11365533
972,派蒙,5.622039,1.8666277
975,派蒙,2.063363,6.756692
985,派蒙,0.890332,3.7617354
1010,削月筑阳真君,6.390569,10.220063
1012,削月筑阳真君,1.3839631,7.863999
1015,派蒙,6.994037,7.1390777
1042,魈,3.0016913,8.297128
1045,留云借风真君,5.035163,7.5044556
1048,甘雨,2.4922094,3.480884
1049,甘雨,14.812641,6.394518
1050,甘雨,2.8759892,8.161648
1051,凝光,6.6481853,3.0299344
1053,甘雨,2.2041345,7.6840544
1054,凝光,1.1654696,5.6705985
1055,留云借风真君,2.1008248,7.005581
1056,魈,-5.024533,11.946876
1057,凝光,2.427792,7.2022367
1058,凝光,1.892986,4.4954348
1059,凝光,1.0180709,7.122478
1060,凝光,14.919789,4.169486
1061,凝光,15.148729,5.1395726
1072,荒泷一斗,-0.17249708,4.1460166
1074,荒泷一斗,6.239524,1.8689606
1075,久岐忍,0.01496575,7.275956
1076,荒泷一斗,-0.053667914,2.451928
1077,阿丑,0.7938126,8.11753
1078,荒泷一斗,3.665415,2.9090266
1080,久岐忍,9.522507,9.170096
1081,久岐忍,7.1888514,4.210294
1082,荒泷一斗,5.1021824,4.041278
1083,荒泷一斗,4.8289313,2.1754484
1084,荒泷一斗,3.4263372,0.129424
1085,烟绯,3.8501046,2.0661511
1086,烟绯,4.075546,0.82626855
1087,烟绯,3.69507,0.21185534
1088,烟绯,3.030932,1.7292008
1089,烟绯,2.77455,4.3456464
1090,夜兰,1.7960538,4.741633
1091,夜兰,0.95904267,0.540291
1092,夜兰,7.377091,4.1559973
1093,旅行者,2.944677,2.8789604
1094,旅行者,0.0020561514,0.49566078
1095,旅行者,-1.1820736,-1.4144968
1096,旅行者,-0.17424451,-0.04903855
1097,旅行者,8.173476,3.7985137
1102,夜兰,6.325803,4.718086
1103,烟绯,9.621741,5.491384
1104,烟绯,7.1781583,10.338944
1106,烟绯,9.823134,5.2011833
1107,夜兰,7.381175,2.9333434
1108,荒泷一斗,1.7619,3.2546263
1109,阿丑,0.7965165,8.126086
1110,荒泷一斗,3.787666,2.4467378
1111,荒泷一斗,5.589368,3.8661337
1112,阿丑,15.219907,3.8216858
1113,荒泷一斗,1.0113341,-1.4983218
1114,荒泷一斗,3.1422858,6.05846
1115,久岐忍,5.386173,8.636551
1116,久岐忍,4.818005,5.2235427
1118,久岐忍,4.9145894,3.4227917
1120,旅行者,1.2124583,4.3170543
1121,北斗,5.904342,2.5480154
1122,北斗,2.988223,1.1041331
1123,枫原万叶,4.9280963,0.95003384
1124,北斗,10.394668,7.6011095
1125,北斗,9.872204,6.018569
1126,枫原万叶,8.502145,4.2543445
1127,枫原万叶,0.56254417,5.567756
1128,北斗,2.8238156,1.7018648
1129,北斗,8.353187,7.884943
1130,北斗,-0.41850147,1.5879663
1131,旅行者,10.931691,5.9186077
1132,旅行者,5.1494966,5.335801
1133,北斗,11.601512,7.445921
1134,北斗,8.746976,8.707444
1135,北斗,10.685761,5.2215686
1136,派蒙,1.5134993,0.28465858
1137,枫原万叶,5.253774,4.122672
1138,枫原万叶,8.7235365,4.586032
1139,派蒙,8.548148,3.9468086
1140,北斗,2.0021713,1.6473109
1141,北斗,1.3843044,0.8081639
1142,枫原万叶,11.426854,8.466417
1143,枫原万叶,9.338258,10.03836
1144,枫原万叶,6.805219,9.81978
1145,旅行者,17.928617,9.857527
1146,旅行者,11.067548,7.998678
1147,枫原万叶,8.311339,7.33088
1148,北斗,8.070475,8.707639
1149,北斗,3.7364714,0.1075825
1150,手岛,11.040671,9.4955
1151,手岛,4.5817533,3.6494753
1152,手岛,10.739174,7.084462
1153,葵,8.551121,6.798771
1154,神里绫华,0.6385898,3.2052
1157,神里绫华,-0.09323474,7.5342255
1166,派蒙,10.103673,8.490873
1167,托马,4.0717463,5.1804886
1168,神里绫华,0.85930943,6.092641
1169,派蒙,1.9510728,1.2682623
1170,旅行者,15.122282,6.194109
1171,派蒙,6.645812,8.342007
1172,派蒙,1.6417743,7.701042
1173,神里绫华,7.372301,3.5106192
1174,托马,8.994248,4.4037313
